,Median ($),Mean ($),5th Percentile ($),95th Percentile ($)
Year 1 Month 1,1006317.3169127738,1005377.9478840262,972918.0378453142,1034181.977328722
Year 1 Month 2,1011113.0692924568,1011096.7116590072,965524.6819161685,1057076.2454304248
Year 1 Month 3,1016160.7971772144,1016704.5024301294,961339.3925868041,1074723.2773109835
Year 1 Month 4,1024288.5291588912,1022878.7752268658,958428.9067898019,1087654.9740394338
Year 1 Month 5,1028261.3042016206,1027329.6339133064,956517.2833040039,1100957.552691338
Year 1 Month 6,1031893.1826621853,1032226.0679806245,952989.1234796265,1115592.6872426558
Year 1 Month 7,1037300.4000380717,1037928.8324937258,951578.196071421,1126903.4522130701
Year 1 Month 8,1040013.349449459,1044019.157574808,947739.3106435958,1140866.7972928495
Year 1 Month 9,1046828.1032614566,1049395.6865180307,947343.7559634205,1156376.2037069271
Year 1 Month 10,1051828.737669481,1054859.1471172185,948636.1917823097,1167907.157426888
Year 1 Month 11,1057256.171779477,1059308.902519292,946773.2996853468,1183017.9350335388
Year 1 Month 12,1062759.1832123331,1065221.3845479453,946100.0380804057,1190886.0192075334
Year 2 Month 1,1065110.484730771,1070294.2463665649,947139.3239047303,1201647.3167017824
Year 2 Month 2,1070346.7715301178,1074677.4280917796,946031.0170693052,1211387.0542501754
Year 2 Month 3,1076428.2040299822,1079311.184233595,947917.100692647,1223012.7802606542
Year 2 Month 4,1077635.5409742605,1084074.529127708,945805.52782918,1239409.0373785465
Year 2 Month 5,1086774.9958813046,1090407.86757181,946266.3518050263,1252120.0511711915
Year 2 Month 6,1092303.0505745017,1096112.7902706715,955943.1635518061,1255902.3375469896
Year 2 Month 7,1096154.3080438762,1101222.9342215792,950062.5488049635,1262197.8022787394
Year 2 Month 8,1099920.8213033169,1105497.4623642082,947081.5342422632,1273772.4885738282
Year 2 Month 9,1105996.9394035703,1111898.2224796254,948529.8828152462,1286684.9781120694
Year 2 Month 10,1112627.2485197673,1116852.552780271,955097.5873571485,1302819.1326923966
Year 2 Month 11,1115455.6837884113,1121962.7929636594,958184.0219093141,1310803.342879212
Year 2 Month 12,1119221.8633056642,1126971.331306188,958054.9865118259,1326435.0986387886
Year 3 Month 1,1125529.315105909,1132843.188803512,963087.1609077724,1334454.5214437412
Year 3 Month 2,1129018.3022001782,1138755.6355969268,959756.8081494406,1344486.9352905008
Year 3 Month 3,1135862.7192621236,1143479.510608353,966553.9483119267,1357285.8373188062
Year 3 Month 4,1139537.3803993082,1149559.0190353338,966233.3837130468,1362224.0309354027
Year 3 Month 5,1144813.2676701979,1154619.203060293,966133.8009892846,1365350.5801534422
Year 3 Month 6,1152389.6579248914,1160598.8840568028,969332.9656187537,1378523.3553415518
Year 3 Month 7,1156418.6077736537,1165024.6888468922,968485.0767234575,1387191.2441028184
Year 3 Month 8,1162187.8497006455,1170848.9032609633,976597.6731040085,1407514.1786136169
Year 3 Month 9,1167751.6148629175,1177319.4001342615,976437.5575801309,1417625.3122508677
Year 3 Month 10,1173330.6069073207,1183063.6245852478,984462.1209560392,1430409.985824291
Year 3 Month 11,1178954.9434915525,1187848.576115785,978833.6946886528,1438836.7178509508
Year 3 Month 12,1183531.2304854593,1192578.5016378188,979599.3617235257,1443534.1505511552
Year 4 Month 1,1186782.6737344544,1196608.0832731056,978142.6336997898,1457993.9967771762
Year 4 Month 2,1193791.23795855,1201695.0760023782,980096.8684838224,1467618.9999753386
Year 4 Month 3,1197340.6813703733,1208041.9756558898,981367.192343642,1471185.3504753984
Year 4 Month 4,1202428.4048149304,1213992.9650441415,983462.0526615602,1474765.8933105255
Year 4 Month 5,1204613.240840148,1220674.830101735,985805.660056558,1490987.8760133942
Year 4 Month 6,1214666.2956227507,1226580.8323791712,987255.7343248386,1508256.81495914
Year 4 Month 7,1218443.4339186745,1231952.0788736464,990612.6390040439,1520679.8370349556
Year 4 Month 8,1226056.3735070378,1238580.440542965,996631.4215985048,1527244.2099922528
Year 4 Month 9,1231604.584553292,1245134.7905678672,994674.1927392203,1536130.1040199448
Year 4 Month 10,1238174.4237754957,1252066.659785986,998709.6348654842,1546360.1840293535
Year 4 Month 11,1243344.7038231625,1257545.9346987708,1002527.3093383588,1551315.0018634652
Year 4 Month 12,1252256.9155246662,1263310.6674924325,1001471.697011081,1567263.8584219909
Year 5 Month 1,1257657.30085447,1269724.513921443,999661.7445258567,1575935.2346697908
Year 5 Month 2,1261746.7192466948,1276794.8533864797,1005168.0531753723,1589680.9887947883
Year 5 Month 3,1270784.0039578713,1283305.4369351114,1003957.4138968866,1595529.267811893
Year 5 Month 4,1276890.3911925023,1289555.4268841357,1010254.5617585239,1616395.2204696063
Year 5 Month 5,1282655.5638167316,1296281.8024842741,1015409.3756066058,1622684.017869982
Year 5 Month 6,1290046.5086785068,1302643.2490177797,1018285.8300237106,1626756.6035448206
