,Mean ($),Management Fee ($),Trading Fee ($),Total Fees ($),Net Mean Value ($)
Year 1 Month 1,1005377.9478840262,1675.6299131400438,50.26889739420131,1725.898810534245,1003652.049073492
Year 1 Month 2,1011096.7116590072,1685.1611860983455,50.55483558295037,1735.7160216812958,1009360.9956373259
Year 1 Month 3,1016704.5024301294,1694.5075040502159,50.835225121506475,1745.3427291717223,1014959.1597009577
Year 1 Month 4,1022878.7752268658,1704.797958711443,51.14393876134329,1755.9418974727864,1021122.833329393
Year 1 Month 5,1027329.6339133064,1712.2160565221775,51.36648169566532,1763.5825382178427,1025566.0513750885
Year 1 Month 6,1032226.0679806245,1720.3767799677075,51.61130339903123,1771.9880833667387,1030454.0798972577
Year 1 Month 7,1037928.8324937258,1729.8813874895432,51.8964416246863,1781.7778291142295,1036147.0546646116
Year 1 Month 8,1044019.157574808,1740.0319292913468,52.200957878740404,1792.2328871700872,1042226.924687638
Year 1 Month 9,1049395.6865180307,1748.9928108633846,52.469784325901536,1801.4625951892863,1047594.2239228414
Year 1 Month 10,1054859.1471172185,1758.0985785286975,52.74295735586093,1810.8415358845584,1053048.3055813338
Year 1 Month 11,1059308.902519292,1765.5148375321535,52.9654451259646,1818.480282658118,1057490.422236634
Year 1 Month 12,1065221.3845479453,1775.3689742465756,53.26106922739727,1828.6300434739728,1063392.7545044713
Year 2 Month 1,1070294.2463665649,1783.8237439442748,53.51471231832825,1837.3384562626031,1068456.9079103023
Year 2 Month 2,1074677.4280917796,1791.1290468196328,53.73387140458898,1844.8629182242219,1072832.5651735554
Year 2 Month 3,1079311.184233595,1798.8519737226584,53.96555921167975,1852.817532934338,1077458.3667006607
Year 2 Month 4,1084074.529127708,1806.7908818795133,54.2037264563854,1860.9946083358986,1082213.534519372
Year 2 Month 5,1090407.86757181,1817.3464459530169,54.520393378590505,1871.8668393316075,1088536.0007324785
Year 2 Month 6,1096112.7902706715,1826.8546504511191,54.80563951353358,1881.6602899646527,1094231.1299807068
Year 2 Month 7,1101222.9342215792,1835.3715570359655,55.06114671107897,1890.4327037470443,1099332.5015178323
Year 2 Month 8,1105497.4623642082,1842.4957706070138,55.27487311821041,1897.7706437252243,1103599.691720483
Year 2 Month 9,1111898.2224796254,1853.163704132709,55.59491112398127,1908.7586152566903,1109989.4638643686
Year 2 Month 10,1116852.552780271,1861.420921300452,55.84262763901356,1917.2635489394654,1114935.2892313316
Year 2 Month 11,1121962.7929636594,1869.9379882727658,56.09813964818297,1926.0361279209487,1120036.7568357384
Year 2 Month 12,1126971.331306188,1878.28555217698,56.3485665653094,1934.6341187422895,1125036.6971874456
Year 3 Month 1,1132843.188803512,1888.0719813391866,56.642159440175604,1944.7141407793622,1130898.4746627326
Year 3 Month 2,1138755.6355969268,1897.9260593282115,56.93778177984635,1954.8638411080578,1136800.7717558187
Year 3 Month 3,1143479.510608353,1905.799184347255,57.17397553041765,1962.9731598776727,1141516.5374484754
Year 3 Month 4,1149559.0190353338,1915.931698392223,57.47795095176669,1973.4096493439897,1147585.6093859898
Year 3 Month 5,1154619.203060293,1924.365338433822,57.730960153014664,1982.0962985868366,1152637.1067617063
Year 3 Month 6,1160598.8840568028,1934.3314734280048,58.02994420284015,1992.361417630845,1158606.522639172
Year 3 Month 7,1165024.6888468922,1941.7078147448206,58.25123444234461,1999.9590491871652,1163024.729797705
Year 3 Month 8,1170848.9032609633,1951.4148387682721,58.542445163048164,2009.9572839313203,1168838.945977032
Year 3 Month 9,1177319.4001342615,1962.1990002237692,58.86597000671308,2021.0649702304822,1175298.335164031
Year 3 Month 10,1183063.6245852478,1971.77270764208,59.153181229262394,2030.9258888713423,1181032.6986963765
Year 3 Month 11,1187848.576115785,1979.7476268596417,59.39242880578925,2039.140055665431,1185809.4360601194
Year 3 Month 12,1192578.5016378188,1987.6308360630314,59.62892508189094,2047.2597611449223,1190531.241876674
Year 4 Month 1,1196608.0832731056,1994.346805455176,59.83040416365528,2054.1772096188315,1194553.9060634868
Year 4 Month 2,1201695.0760023782,2002.8251266706307,60.08475380011892,2062.9098804707496,1199632.1661219075
Year 4 Month 3,1208041.9756558898,2013.4032927598166,60.402098782794496,2073.8053915426112,1205968.1702643472
Year 4 Month 4,1213992.9650441415,2023.3216084069027,60.69964825220708,2084.02125665911,1211908.9437874823
Year 4 Month 5,1220674.830101735,2034.4580501695584,61.03374150508675,2095.4917916746454,1218579.3383100603
Year 4 Month 6,1226580.8323791712,2044.3013872986187,61.32904161895856,2105.6304289175773,1224475.2019502537
Year 4 Month 7,1231952.0788736464,2053.253464789411,61.59760394368233,2114.851068733093,1229837.2278049134
Year 4 Month 8,1238580.440542965,2064.3007342382753,61.92902202714826,2126.2297562654235,1236454.2107866996
Year 4 Month 9,1245134.7905678672,2075.2246509464453,62.25673952839337,2137.4813904748385,1242997.3091773924
Year 4 Month 10,1252066.659785986,2086.777766309977,62.6033329892993,2149.3810992992762,1249917.2786866867
Year 4 Month 11,1257545.9346987708,2095.909891164618,62.87729673493855,2158.7871878995566,1255387.1475108713
Year 4 Month 12,1263310.6674924325,2105.5177791540546,63.16553337462163,2168.683312528676,1261141.9841799038
Year 5 Month 1,1269724.513921443,2116.207523202405,63.486225696072154,2179.693748898477,1267544.8201725443
